wkt;z;name;tier;altura
POLYGON (( 764024.351 6304163.378, 763982.065 6304178.769, 763952.993 6304098.895, 764009.375 6304078.374, 763997.404 6304045.484, 764161.850 6303985.631, 764173.821 6304018.520, 764220.805 6304001.419, 764249.877 6304081.293, 764024.351 6304163.378));46.09;ACERÍA;1;34.45
POLYGON (( 764281.091 6304181.671, 764060.263 6304262.046, 764024.351 6304163.378, 764254.576 6304079.583, 764268.256 6304117.171, 764301.146 6304105.200, 764313.116 6304138.089, 764270.830 6304153.480, 764281.091 6304181.671));44.44;COLCONT;1;62.25
POLYGON (( 765441.664 6304904.348, 765466.558 6304895.670, 765470.060 6304881.672, 765463.665 6304866.865, 765488.560 6304858.187, 765499.751 6304884.099, 765532.944 6304872.528, 765539.339 6304887.334, 765531.041 6304890.227, 765537.436 6304905.034, 765508.392 6304915.158, 765490.197 6304917.242, 765452.855 6304930.260, 765441.664 6304904.348));30.95;IMBA;1;39.9
POLYGON (( 765564.810 6304846.935, 765596.360 6304849.990, 765598.667 6304856.733, 765593.613 6304877.306, 765577.660 6304874.578, 765559.054 6304872.072, 765564.810 6304846.935));29.7;ALTOHOR;1;28
POLYGON (( 765734.322 6304892.600, 765795.829 6304869.145, 765798.317 6304876.305, 765791.483 6304878.911, 765793.970 6304886.071, 765804.221 6304882.162, 765806.708 6304889.322, 765779.372 6304899.747, 765776.885 6304892.587, 765739.297 6304906.920 765734.322 6304892.600));24.65;SINTER;1;12.4
POLYGON (( 764782.244 6304654.722, 764790.794 6304678.215, 764757.905 6304690.186, 764763.035 6304704.281, 764918.084 6304647.848, 764912.954 6304633.752, 764884.763 6304644.013, 764876.213 6304620.520));22.2;ALMACENE;1;18
POLYGON (( 764779.541 6304197.156, 764784.671 6304211.252, 764756.481 6304221.512, 764766.741 6304249.703, 764841.917 6304222.341, 764862.438 6304278.723, 764923.518 6304256.492, 764928.648 6304270.587, 764952.140 6304262.037, 764940.170 6304229.147, 764947.217 6304226.582, 764942.942 6304214.836, 764935.894 6304217.401, 764928.199 6304196.258, 764904.707 6304204.809, 764909.837 6304218.904, 764858.154 6304237.715, 764851.313 6304218.921, 764867.758 6304212.936, 764857.497 6304184.745, 764812.862 6304200.991, 764807.732 6304186.896));29.99;ADMINIST;1;16.5
POLYGON (( 765079.135 6303386.857, 765128.728 6303523.113, 765253.237 6303477.795, 765203.644 6303341.540, 765079.135 6303386.857));28.01;B1;1;26
POLYGON (( 763888.224 6304149.585, 763901.905 6304187.172, 763944.191 6304171.781, 763930.510 6304134.194, 763888.224 6304149.585));26.42;B2;1;5
POLYGON (( 763955.446 6304294.166, 763969.982 6304334.103, 764016.966 6304317.002, 764002.430 6304277.065, 763955.446 6304294.166));24.98;B3;1;5
POLYGON (( 764323.604 6304173.080, 764335.575 6304205.969, 764429.544 6304171.767, 764417.573 6304138.878, 764323.604 6304173.080));29.22;B4;1;5
POLYGON (( 764475.060 6304419.914, 764499.002 6304485.692, 764621.162 6304441.230, 764597.220 6304375.451, 764475.060 6304419.914));25.33;B5;1;26.5
POLYGON (( 764448.786 6304790.996, 764462.466 6304828.583, 764589.325 6304782.411, 764575.644 6304744.823, 764448.786 6304790.996));21.4;B6;1;18
POLYGON (( 764604.721 6304726.181, 764618.402 6304763.769, 764747.610 6304716.741, 764739.060 6304693.249, 764604.721 6304726.181, 764750.806 6304688.974, 764745.675 6304674.878));20.04;B7;1;18
POLYGON (( 764913.801 6304606.840, 764927.481 6304644.427, 765026.149 6304608.515, 765012.468 6304570.928, 764913.801 6304606.840));22;B8;1;5
POLYGON (( 764891.569 6304545.760, 764905.250 6304583.347, 765003.918 6304547.435, 764990.237 6304509.848, 764891.569 6304545.760));22;B9;1;5
POLYGON (( 764756.160 6304568.440, 764769.841 6304606.028, 764863.810 6304571.826, 764850.130 6304534.238, 764756.160 6304568.440));22.53;B10;1;5
POLYGON (( 764763.973 6304275.552, 764783.639 6304329.584, 764802.433 6304322.743, 764782.767 6304268.711, 764763.973 6304275.552));29.1;B11;1;5
POLYGON (( 764902.728 6304722.608, 764911.279 6304746.101, 764948.866 6304732.420, 764952.286 6304741.817, 764975.779 6304733.266, 764972.359 6304723.869, 764995.851 6304715.319, 764987.300 6304691.827, 764902.728 6304722.608));22.12;B12;1;5
POLYGON (( 765223.270 6303990.010, 765412.609 6304507.702, 765346.443 6304531.668, 765358.069 6304563.456, 765275.931 6304593.207, 765287.557 6304624.995, 765465.522 6304560.535, 765438.948 6304487.876, 765470.891 6304476.306, 765381.204 6304231.084, 765404.020 6304222.819, 765448.863 6304345.431, 765485.369 6304332.208, 765443.847 6304218.679, 765387.378 6304064.280, 765355.435 6304075.850, 765312.252 6303957.779));27.74;EDIGR1;1;26.7
POLYGON (( 765426.427 6304204.593, 765640.727 6304126.594, 765629.271 6304095.121, 765414.971 6304173.120));25.25;EDIGR2;1;18.35
POLYGON (( 765587.953 6304132.008, 765601.240 6304168.337, 765571.579 6304179.080, 765664.588 6304433.385, 765694.249 6304422.642, 765684.283 6304395.395, 765823.461 6304344.983, 765849.205 6304415.371, 765881.147 6304403.801, 765860.386 6304347.037, 765983.593 6304302.410, 765960.341 6304238.834, 766015.099 6304218.999, 766001.812 6304182.670, 765896.859 6304220.686, 765892.706 6304209.333, 765942.902 6304191.151, 765933.767 6304166.175, 765965.709 6304154.605, 765956.575 6304129.629, 765979.391 6304121.365, 765974.408 6304107.741, 765792.529 6304177.021, 765797.512 6304191.727, 765800.401 6304200.808, 765766.742 6304212.135, 765777.383 6304243.754, 765697.407 6304271.921, 765640.501 6304112.572));29.42;EDIGR3;1;26.5
POLYGON (( 765894.986 6304138.920, 765883.870 6304108.380, 765923.807 6304093.844, 765911.836 6304060.955, 765778.460 6304111.176, 765792.545 6304145.979, 765785.094 6304148.757, 765796.111 6304177.570));26.61;EDIGR4;1;17.5
POLYGON (( 765130.144 6304196.040, 765222.489 6304449.757, 765269.474 6304432.656, 765177.129 6304178.939));26.43;DEPPLAN;1;26.7
POLYGON (( 766026.894 6303600.595, 766069.647 6303718.056, 766083.742 6303712.926, 766085.452 6303717.624, 766099.548 6303712.494, 766102.113 6303719.542, 766111.510 6303716.122, 766107.235 6303704.375, 766140.124 6303692.405, 766143.544 6303701.802, 766120.052 6303710.352, 766137.153 6303757.337, 766207.630 6303731.685, 766210.195 6303738.733, 766238.386 6303728.472, 766235.820 6303721.425, 766261.662 6303712.019, 766217.199 6303589.859, 766257.136 6303575.323, 766243.456 6303537.736, 766257.551 6303532.605, 766252.421 6303518.510));28.91;MANTENIM;1;17.75
POLYGON (( 766210.195 6303738.733, 766217.890 6303759.876, 766243.732 6303750.470, 766283.064 6303858.535, 766304.207 6303850.840, 766290.526 6303813.252, 766299.923 6303809.832, 766272.562 6303734.656, 766263.165 6303738.077, 766259.745 6303728.680, 766250.348 6303732.100, 766247.783 6303725.052));24.76;B13;1;5
POLYGON (( 764730.047 6305131.686, 764736.035 6305148.137, 764938.600 6305074.409, 764932.612 6305057.959));22.48;COQUERIA;1;13
POLYGON (( 764964.900 6305051.043, 764969.379 6305062.713, 765123.420 6305003.582, 765118.940 6304991.912));24.98;B14;1;13
POLYGON (( 765495.653 6304773.973, 765506.039 6304800.995, 765658.749 6304739.240, 765649.735 6304712.218, 765633.225 6304718.775, 765630.220 6304709.767, 765547.668 6304742.551, 765550.673 6304751.559));28.78;CENTTER;1;28.3
POLYGON (( 765512.286 6304657.876, 765519.809 6304678.544, 765564.062 6304662.437, 765556.540 6304641.769));23.74;B15;1;10
POLYGON (( 764800.240 6305018.690, 764808.160 6305038.280, 764833.450 6305027.900, 764825.260 6305008.000));23.39;B19;1;30
POLYGON (( 764833.330 6304991.250, 764846.260 6305022.360, 764862.280 6305017.010, 764849.330 6304984.110));23.83;B20;1;30
POLYGON (( 765325.977 6303882.312, 765335.383 6303908.154, 765387.066 6303889.343, 765377.660 6303863.501));22.14;B22;1;3.5
POLYGON (( 765381.944 6303904.509, 765385.364 6303913.906, 765413.555 6303903.645, 765404.149 6303877.804, 765390.054 6303882.934, 765396.039 6303899.379));22.86;B23;1;5
POLYGON (( 764906.100 6304977.470, 764913.320 6304995.200, 764944.000 6304984.540, 764936.750 6304965.520));24.61;B26;1;30
POLYGON (( 765042.440 6304910.480, 765054.210 6304940.340, 765074.970 6304930.890, 765064.390 6304902.380));30.15;B27;1;30
POLYGON (( 764930.100 6304951.820, 764944.000 6304984.540, 764970.410 6304973.690, 764956.580 6304941.050));25.59;B28;1;30
POLYGON (( 764843.363 6305110.089, 764837.891 6305095.054, 764850.704 6305089.326, 764856.519 6305105.301));24.01;COQUE2;1;59
POLYGON (( 765116.293 6304941.500, 765100.438 6304934.933, 765093.871 6304919.078, 765100.438 6304903.224, 765116.293 6304896.656, 765132.148 6304903.224, 765138.715 6304919.078, 765132.148 6304934.933));32.36;BLD_49;1;30
POLYGON (( 765163.463 6304932.629, 765153.856 6304928.650, 765149.877 6304919.044, 765153.856 6304909.438, 765163.463 6304905.459, 765173.069 6304909.438, 765177.048 6304919.044, 765173.069 6304928.650));27.09;BLD_50;1;30
POLYGON (( 764692.120 6305066.770, 764686.817 6305064.573, 764684.620 6305059.270, 764686.817 6305053.967, 764692.120 6305051.770, 764697.423 6305053.967, 764699.620 6305059.270, 764697.423 6305064.573));21.08;BLD_51;1;20
POLYGON (( 764710.950 6305059.050, 764705.647 6305056.853, 764703.450 6305051.550, 764705.647 6305046.247, 764710.950 6305044.050, 764716.253 6305046.247, 764718.450 6305051.550, 764716.253 6305056.853));20.8;BLD_52;1;20
POLYGON (( 764728.830 6305048.680, 764724.941 6305047.069, 764723.330 6305043.180, 764724.941 6305039.291, 764728.830 6305037.680, 764732.719 6305039.291, 764734.330 6305043.180, 764732.719 6305047.069));20.95;BLD_53;1;20
POLYGON (( 764862.000 6304995.000, 764858.464 6304993.536, 764857.000 6304990.000, 764858.464 6304986.464, 764862.000 6304985.000, 764865.536 6304986.464, 764867.000 6304990.000, 764865.536 6304993.536));23.94;BLD_54;1;15
POLYGON (( 766235.000 6304309.300, 766230.000 6304318.100, 766243.000 6304324.600, 766247.700 6304315.600));18.84;BLD_47;1;7
POLYGON (( 766246.000 6304279.400, 766241.800 6304287.400, 766245.586 6304289.382, 766251.949 6304292.712, 766250.000 6304297.000, 766266.335 6304305.229, 766269.660 6304299.300, 766260.272 6304294.023, 766251.215 6304288.932, 766254.000 6304283.300));19.08;BLD_48;1;7
